player,role,pay,team
MS Dhoni,Captain,,Chennai Super Kings
Ravindra Jadeja,All-Rounder,,Chennai Super Kings
Suresh Raina,All-Rounder,,Chennai Super Kings
Kedar Jadhav,All-Rounder,78000000.00,Chennai Super Kings
Dwayne Bravo,All-Rounder,64000000.00,Chennai Super Kings
Karn Sharma,Bowler,50000000.00,Chennai Super Kings
Shane Watson,All-Rounder,40000000.00,Chennai Super Kings
Shardul Narendra Thakur,Bowler,26000000.00,Chennai Super Kings
Ambati Rayudu,Wicket Keeper,22000000.00,Chennai Super Kings
Murali Vijay,Batsman,20000000.00,Chennai Super Kings
Harbhajan Singh,Bowler,20000000.00,Chennai Super Kings
Faf Du Plessis,Batsman,16000000.00,Chennai Super Kings
Mark Wood,Bowler,15000000.00,Chennai Super Kings
Sam Billings,Wicket Keeper,10000000.00,Chennai Super Kings
Imran Tahir,Bowler,10000000.00,Chennai Super Kings
Deepak Chahar,All-Rounder,8000000.00,Chennai Super Kings
Mitchell Santner,All-Rounder,5000000.00,Chennai Super Kings
Lungisani Ngidi,Bowler,5000000.00,Chennai Super Kings
Asif K M,Bowler,4000000.00,Chennai Super Kings
N Jagadeesan,Wicket Keeper,2000000.00,Chennai Super Kings
Kanishk Seth,All-Rounder,2000000.00,Chennai Super Kings
Monu Singh,Bowler,2000000.00,Chennai Super Kings
Dhruv Shorey,All-Rounder,2000000.00,Chennai Super Kings
Kshitiz Sharma,All-Rounder,2000000.00,Chennai Super Kings
Chaitanya Bishnoi,All-Rounder,2000000.00,Chennai Super Kings
Steve Smith,Batsman,,Rajasthan Royals
Ben Stokes,All-Rounder,125000000.00,Rajasthan Royals
Jaydev Unadkat,Bowler,115000000.00,Rajasthan Royals
Sanju Samson,Wicket Keeper,80000000.00,Rajasthan Royals
Jofra Archer,All-Rounder,72000000.00,Rajasthan Royals
Krishnappa Gowtham,Bowler,62000000.00,Rajasthan Royals
Jos Buttler,Wicket Keeper,44000000.00,Rajasthan Royals
Ajinkya Rahane,Batsman,40000000.00,Rajasthan Royals
Darcy Short,All-Rounder,40000000.00,Rajasthan Royals
Rahul Tripathi,Batsman,34000000.00,Rajasthan Royals
Dhawal Kulkarni,Bowler,7500000.00,Rajasthan Royals
Zahir Khan Pakteen,Bowler,6000000.00,Rajasthan Royals
Ben Laughlin,Bowler,5000000.00,Rajasthan Royals
Stuart Binny,All-Rounder,5000000.00,Rajasthan Royals
Dushmantha Chameera,Bowler,5000000.00,Rajasthan Royals
Anureet Singh,Bowler,3000000.00,Rajasthan Royals
Aryaman Vikram Birla,All-Rounder,3000000.00,Rajasthan Royals
Midhun S,All-Rounder,2000000.00,Rajasthan Royals
Shreyas Gopal,All-Rounder,2000000.00,Rajasthan Royals
Prashant Chopra,Wicket Keeper,2000000.00,Rajasthan Royals
Jatin Saxena,All-Rounder,2000000.00,Rajasthan Royals
Ankit Sharma,All-Rounder,2000000.00,Rajasthan Royals
Mahipal Lomror,All-Rounder,2000000.00,Rajasthan Royals
Rohit Sharma,Captain,,Mumbai Indians
Jasprit Bumrah,Bowler,,Mumbai Indians
Hardik Pandya,All-Rounder,,Mumbai Indians
Krunal Pandya,All-Rounder,88000000.00,Mumbai Indians
Ishan Kishan,Wicket Keeper,62000000.00,Mumbai Indians
Kieron Pollard,All-Rounder,54000000.00,Mumbai Indians
Pat Cumins,Bowler,54000000.00,Mumbai Indians
Evin Lewis,Batsman,38000000.00,Mumbai Indians
Suryakumar Yadav,Batsman,32000000.00,Mumbai Indians
Ben Cutting,All-Rounder,22000000.00,Mumbai Indians
Mustafizur Rahman,Bowler,22000000.00,Mumbai Indians
Rahul Chahar,Bowler,19000000.00,Mumbai Indians
Pradeep Sangwan,Bowler,15000000.00,Mumbai Indians
Jason Behrendorff,Bowler,15000000.00,Mumbai Indians
Jean-Paul Duminy,All-Rounder,10000000.00,Mumbai Indians
Saurabh Tiwary,Batsman,8000000.00,Mumbai Indians
Tajinder Dhillon Singh,All-Rounder,5500000.00,Mumbai Indians
Akila Dhananjaya,Bowler,5000000.00,Mumbai Indians
Nidheesh M D Dinesan,Bowler,2000000.00,Mumbai Indians
Aditya Tare,Wicket Keeper,2000000.00,Mumbai Indians
Siddhesh Dinesh Lad,Batsman,2000000.00,Mumbai Indians
Mayank Markande,Bowler,2000000.00,Mumbai Indians
Sharad Lumba,Batsman,2000000.00,Mumbai Indians
Anukul Roy,All-Rounder,2000000.00,Mumbai Indians
Mohsin Khan,Bowler,2000000.00,Mumbai Indians
Virat Kohli,Captain,,Royal Challengers Bangalore
AB de Villers,Batsman,,Royal Challengers Bangalore
